
# The Joban gang is an ancient ________ organization
ZADD organization_legal  10 {"name":"criminal",     "score":10   }
ZADD organization_legal  30 {"name":"dubious",      "score":30   }
ZADD organization_legal  40 {"name":"shady",        "score":40   }
ZADD organization_legal  50 {"name":"honorable",    "score":50   }
ZADD organization_legal 100 {"name":"legitimate",   "score":100   }

# The Joban gang is an ancient, honorable organization with a ________ reputation
ZADD organization_violence  10 {"name":"muderous",      "score":10   }
ZADD organization_violence  20 {"name":"brutal",        "score":20   }
ZADD organization_violence  30 {"name":"violent",       "score":30   }
ZADD organization_violence  40 {"name":"coercive",      "score":40   }
ZADD organization_violence  50 {"name":"rough",         "score":40   }
ZADD organization_violence  60 {"name":"strict",        "score":60   }
ZADD organization_violence  80 {"name":"mild",          "score":80   }
ZADD organization_violence  90 {"name":"calm",          "score":90   }
ZADD organization_violence 100 {"name":"passive",       "score":100   }

# Joban's gang is a[n] ________ criminal organization
ZADD organization_age 25   {"name":"young",         "score":25   }
ZADD organization_age 50   {"name":"juvenile",      "score":50   }
ZADD organization_age 75   {"name":"mature",        "score":75   }
ZADD organization_age 100  {"name":"ancient",       "score":100  }


# FIXME The following ALL need to be stats with blocks like above
#power (political)
#entry (difficulty of joining)
#morale 
#adaptability (fear of change vs riding new wave)
#rules (loose rules vs defined rules




# The Yakuza handles failure with _________.
ZADD organization_failure  20 { "name":"a slow death",                  "score":20  }
ZADD organization_failure  40 { "name":"a quick death",                 "score":40  }
ZADD organization_failure  60 { "name":"a painful lesson",              "score":60  }
ZADD organization_failure  80 { "name":"strict punishment",             "score":80  }
ZADD organization_failure 100 { "name":"better guidance and training",  "score":100 }

# The Yakuza work ______________.
ZADD organization_teamwork  30 { "name":"as individuals acting alone.",    "score":30  }
ZADD organization_teamwork  60 { "name":"together to accomplish goals",    "score":60  }
ZADD organization_teamwork 100 { "name":"as a well oiled machine",         "score":100 }

# Leadership within the  Yakuza is  ______________.
ZADD organization_leadership  30 { "name":"weak",       "score":30  }
ZADD organization_leadership  60 { "name":"moderate",   "score":60  }
ZADD organization_leadership 100 { "name":"strong",     "score":100 }

# The Yakuza are _______________ structured.
ZADD organization_structure  30 { "name":"loosely",    "score":30  }
ZADD organization_structure  60 { "name":"barely",     "score":60  }
ZADD organization_structure 100 { "name":"rigidly",    "score":100 }

# When rules are broken, the Yakuza _________ punishment.
ZADD organization_regulation  20 { "name":"never enforce",     "score":20  }
ZADD organization_regulation  40 { "name":"rarely enforce",    "score":40  }
ZADD organization_regulation  60 { "name":"usually enforce",   "score":60  }
ZADD organization_regulation  80 { "name":"often enforce",     "score":80  }
ZADD organization_regulation 100 { "name":"strictly enforce",  "score":100 }

# Insiders say the Yakuza  ________ internally.
ZADD organization_stability  20 { "name":"are falling apart",  "score":20  }
ZADD organization_stability  40 { "name":"are having issues",  "score":40  }
ZADD organization_stability  60 { "name":"has it's squabbles", "score":60  }
ZADD organization_stability  80 { "name":"have few issues",    "score":80  }
ZADD organization_stability 100 { "name":"are rock solid",     "score":100 }

# The Yakuza are _______ to the average citizen
ZADD organization_visibility  10 { "name":"unknown",               "score":10  }
ZADD organization_visibility  20 { "name":"a myth",                "score":20  }
ZADD organization_visibility  30 { "name":"simply rumors",         "score":30  }
ZADD organization_visibility  70 { "name":"rarely known",          "score":70  }
ZADD organization_visibility  80 { "name":"occasionally known",    "score":80  }
ZADD organization_visibility  90 { "name":"sometimes known",       "score":90  }
ZADD organization_visibility 100 { "name":"well known",            "score":100 }

# The Gogo Gang's influence expands across their __________.
ZADD organization_size  10 { "name":"street",      "score":10  }
ZADD organization_size  20 { "name":"district",    "score":20  }
ZADD organization_size  70 { "name":"city",        "score":70  }
ZADD organization_size  80 { "name":"region",      "score":80  }
ZADD organization_size  90 { "name":"country",     "score":90  }
ZADD organization_size  95 { "name":"continent",   "score":95  }
ZADD organization_size 100 { "name":"world",       "score":100 }





###########################################
# TODO how do we deal with Sects? merge?

LPUSH organization_kind gang
LPUSH organization_kind union
LPUSH organization_kind guild
LPUSH organization_kind order
LPUSH organization_kind milita
LPUSH organization_kind network
LPUSH organization_kind fraternity
LPUSH organization_kind circle
LPUSH organization_kind council
LPUSH organization_kind society
LPUSH organization_kind association
LPUSH organization_kind club
LPUSH organization_kind organization

# Memebers of Joban's gang can be identified ________
LPUSH organization_identification only by another member
LPUSH organization_identification by a specific insignia
LPUSH organization_identification by a specific article of clothing
LPUSH organization_identification by a tattoo
LPUSH organization_identification by a shared accent

